file_path,refactoring_type,lines_changed,cyclomatic_complexity,nesting_depth,commit_sha,commit_idx,refactoring_idx,description,has_left_locations,has_right_locations
src/main/java/org/apache/commons/lang3/time/FastDatePrinter.java,Replace Conditional With Ternary,5,1,1,a265d47580e5a431b1aebb8bca7b1e4dc1ea83f4,4,0,"Replace Conditional With Ternary if(tokenLen >= 4) to rule=new TimeZoneNameRule(timeZone,locale,tokenLen >= 4 ? TimeZone.LONG : TimeZone.SHORT); in method protected parsePattern() : List<Rule> from class org.apache.commons.lang3.time.FastDatePrinter",True,True
src/main/java/org/apache/commons/lang3/time/FastDatePrinter.java,Extract Variable,7,1,1,ddb1872e97bfa8ba8b1e43472dece97fe4be3225,6,0,"Extract Variable c2 : char in method protected parseToken(pattern String, indexRef int[]) : String from class org.apache.commons.lang3.time.FastDatePrinter",True,True
src/main/java/org/apache/commons/lang3/time/FastDatePrinter.java,Extract Variable,39,1,1,ddb1872e97bfa8ba8b1e43472dece97fe4be3225,6,1,"Extract Variable c1 : char in method protected parseToken(pattern String, indexRef int[]) : String from class org.apache.commons.lang3.time.FastDatePrinter",True,True
src/main/java/org/apache/commons/lang3/math/NumberUtils.java,Extract And Move Method,135,1,1,fcf433fe8f9d470b7a076cd4be065af6fabc23d2,7,0,Extract And Move Method public isHex(ch char) : boolean extracted from public isCreatable(str String) : boolean in class org.apache.commons.lang3.math.NumberUtils & moved to class org.apache.commons.lang3.CharUtils,True,True
src/main/java/org/apache/commons/lang3/text/translate/OctalUnescaper.java,Change Method Access Modifier,8,1,1,ec5319a7e354ef09b41a39ab73fa310efd56be30,9,0,Change Method Access Modifier private to public in method public isOctal(ch char) : boolean from class org.apache.commons.lang3.CharUtils,True,True
src/main/java/org/apache/commons/lang3/text/translate/OctalUnescaper.java,Add Method Modifier,8,1,1,ec5319a7e354ef09b41a39ab73fa310efd56be30,9,1,Add Method Modifier static in method public isOctal(ch char) : boolean from class org.apache.commons.lang3.CharUtils,True,True
src/main/java/org/apache/commons/lang3/text/translate/OctalUnescaper.java,Move And Rename Method,8,1,1,ec5319a7e354ef09b41a39ab73fa310efd56be30,9,2,Move And Rename Method private isOctalDigit(ch char) : boolean from class org.apache.commons.lang3.text.translate.OctalUnescaper to public isOctal(ch char) : boolean from class org.apache.commons.lang3.CharUtils,True,True
src/main/java/org/apache/commons/lang3/math/NumberUtils.java,Extract Method,202,1,1,7775bf5a2e0fdb051e826b2092b68f827d54a25f,10,0,Extract Method private isSign(ch char) : boolean extracted from public createNumber(str String) : Number in class org.apache.commons.lang3.math.NumberUtils,True,True
src/main/java/org/apache/commons/lang3/math/NumberUtils.java,Extract Method,19,1,1,7775bf5a2e0fdb051e826b2092b68f827d54a25f,10,1,"Extract Method private isSign(ch char) : boolean extracted from private getMantissa(str String, stopPos int) : String in class org.apache.commons.lang3.math.NumberUtils",True,True
src/main/java/org/apache/commons/lang3/math/NumberUtils.java,Extract Method,133,1,1,7775bf5a2e0fdb051e826b2092b68f827d54a25f,10,2,Extract Method private isSign(ch char) : boolean extracted from public isCreatable(str String) : boolean in class org.apache.commons.lang3.math.NumberUtils,True,True
