file_path,refactoring_type,lines_changed,cyclomatic_complexity,nesting_depth,commit_sha
spring-web/src/main/java/org/springframework/web/client/RestTemplate.java,Remove Method Annotation,1,1,1,bc5d771a0639c6e47eda2b610c221a4515384abb
spring-core/src/main/java/org/springframework/util/PlaceholderParser.java,Pull Up Attribute,1,1,1,e618f922c2e2a874f9cdd660e77e0e373b710e63
spring-webmvc/src/main/java/org/springframework/web/servlet/view/FragmentsRendering.java,Extract Method,10,1,1,81ea35c72690434c06a0d196180e64373663063d
spring-core/src/main/java/org/springframework/core/annotation/AnnotationUtils.java,Change Return Type,1,1,1,bc5d771a0639c6e47eda2b610c221a4515384abb
spring-orm/src/main/java/org/springframework/orm/jpa/persistenceunit/DefaultPersistenceUnitManager.java,Remove Parameter Annotation,1,1,1,bc5d771a0639c6e47eda2b610c221a4515384abb
spring-context/src/main/java/org/springframework/context/event/ApplicationListenerMethodAdapter.java,Remove Method Annotation,1,1,1,bc5d771a0639c6e47eda2b610c221a4515384abb
spring-beans/src/main/java/org/springframework/beans/factory/support/RootBeanDefinition.java,Change Return Type,1,1,1,bc5d771a0639c6e47eda2b610c221a4515384abb
spring-webflux/src/main/java/org/springframework/web/reactive/result/view/ViewResolutionResultHandler.java,Extract Variable,81,1,1,d45e6ec197103e4ddf1358535a49070712105a2a
spring-beans/src/main/java/org/springframework/beans/BeanUtils.java,Remove Method Annotation,1,1,1,bc5d771a0639c6e47eda2b610c221a4515384abb
spring-websocket/src/main/java/org/springframework/web/socket/config/WebSocketMessageBrokerStats.java,Remove Method Annotation,1,1,1,2b9010c2a2a29fbbe0f84d409885a92477007abd
spring-webmvc/src/main/java/org/springframework/web/servlet/handler/AbstractHandlerMapping.java,Change Return Type,1,1,1,bc5d771a0639c6e47eda2b610c221a4515384abb
spring-core/src/main/java/org/springframework/core/annotation/AnnotationUtils.java,Change Return Type,1,1,1,bc5d771a0639c6e47eda2b610c221a4515384abb
spring-test/src/main/java/org/springframework/test/context/web/WebMergedContextConfiguration.java,Remove Parameter Annotation,1,1,1,bc5d771a0639c6e47eda2b610c221a4515384abb
