file_path,refactoring_type,lines_changed,cyclomatic_complexity,nesting_depth,commit_sha,description
spring-messaging/src/main/java/org/springframework/messaging/handler/invocation/AbstractMethodMessageHandler.java,Extract Variable,1,1,1,abccba22f1511efd6d5e8cb5b00f16ba15b83e84,"Extract Variable handlerMethod : HandlerMethod in method private addMatchesToCollection(mappingsToCheck Collection<T>, message Message<?>, matches List<Match>) : void from class org.springframework.messaging.handler.invocation.AbstractMethodMessageHandler"
spring-messaging/src/main/java/org/springframework/messaging/handler/invocation/AbstractMethodMessageHandler.java,Remove Method Annotation,1,1,1,abccba22f1511efd6d5e8cb5b00f16ba15b83e84,"Remove Method Annotation @SuppressWarnings(""NullAway"") in method private addMatchesToCollection(mappingsToCheck Collection<T>, message Message<?>, matches List<Match>) : void from class org.springframework.messaging.handler.invocation.AbstractMethodMessageHandler"
spring-messaging/src/main/java/org/springframework/messaging/handler/invocation/reactive/AbstractMethodMessageHandler.java,Extract Variable,1,1,1,abccba22f1511efd6d5e8cb5b00f16ba15b83e84,"Extract Variable handlerMethod : HandlerMethod in method private addMatchesToCollection(mappingsToCheck Collection<T>, message Message<?>, matches List<Match<T>>) : void from class org.springframework.messaging.handler.invocation.reactive.AbstractMethodMessageHandler"
spring-messaging/src/main/java/org/springframework/messaging/handler/invocation/reactive/AbstractMethodMessageHandler.java,Remove Method Annotation,1,1,1,abccba22f1511efd6d5e8cb5b00f16ba15b83e84,"Remove Method Annotation @SuppressWarnings(""NullAway"") in method private addMatchesToCollection(mappingsToCheck Collection<T>, message Message<?>, matches List<Match<T>>) : void from class org.springframework.messaging.handler.invocation.reactive.AbstractMethodMessageHandler"
spring-messaging/src/test/java/org/springframework/messaging/handler/invocation/MethodMessageHandlerTests.java,Add Method Annotation,6,1,1,abccba22f1511efd6d5e8cb5b00f16ba15b83e84,"Add Method Annotation @Nullable in method protected getMatchingMapping(mapping String, message Message<?>) : String from class org.springframework.messaging.handler.invocation.MethodMessageHandlerTests.TestMethodMessageHandler"
spring-orm/src/main/java/org/springframework/orm/hibernate5/HibernateQueryException.java,Extract Variable,1,1,1,73b24b6f7be9d3958df23764cb85200cef0ea2fd,Extract Variable cause : QueryException in method public getQueryString() : String from class org.springframework.orm.hibernate5.HibernateQueryException
spring-orm/src/main/java/org/springframework/orm/hibernate5/HibernateQueryException.java,Remove Method Annotation,1,1,1,73b24b6f7be9d3958df23764cb85200cef0ea2fd,"Remove Method Annotation @SuppressWarnings(""NullAway"") in method public getQueryString() : String from class org.springframework.orm.hibernate5.HibernateQueryException"
spring-orm/src/main/java/org/springframework/orm/jpa/persistenceunit/PersistenceManagedTypesBeanRegistrationAotProcessor.java,Rename Variable,1,1,1,73b24b6f7be9d3958df23764cb85200cef0ea2fd,"Rename Variable embeddableInstantiatorClass : Class<?> to type : Class<?> in method private registerForReflection(reflection ReflectionHints, annotation Annotation, attribute String) : void from class org.springframework.orm.jpa.persistenceunit.PersistenceManagedTypesBeanRegistrationAotProcessor.JpaManagedTypesBeanRegistrationCodeFragments"
spring-r2dbc/src/main/java/org/springframework/r2dbc/connection/lookup/AbstractRoutingConnectionFactory.java,Remove Method Annotation,1,1,1,7417bd0ac1edce224c321005af39cacc100618a3,"Remove Method Annotation @SuppressWarnings(""NullAway"") in method public initialize() : void from class org.springframework.r2dbc.connection.lookup.AbstractRoutingConnectionFactory"
spring-test/src/main/java/org/springframework/test/http/MediaTypeAssert.java,Remove Method Annotation,1,1,1,a442c180f1956fa0365bca4617fcedb8ea2199f5,"Remove Method Annotation @SuppressWarnings(""NullAway"") in method private parseMediaType(value String) : MediaType from class org.springframework.test.http.MediaTypeAssert"
spring-test/src/main/java/org/springframework/test/web/UriAssert.java,Extract Variable,2,1,1,a442c180f1956fa0365bca4617fcedb8ea2199f5,"Extract Variable message : String in method private buildUri(uriTemplate String, uriVars Object...) : String from class org.springframework.test.web.UriAssert"
spring-test/src/main/java/org/springframework/test/web/UriAssert.java,Remove Method Annotation,1,1,1,a442c180f1956fa0365bca4617fcedb8ea2199f5,"Remove Method Annotation @SuppressWarnings(""NullAway"") in method private buildUri(uriTemplate String, uriVars Object...) : String from class org.springframework.test.web.UriAssert"
spring-test/src/main/java/org/springframework/test/web/UriAssert.java,Remove Parameter,1,1,1,a442c180f1956fa0365bca4617fcedb8ea2199f5,"Remove Parameter errorMessage : String in method private ShouldBeValidUriTemplate(uriTemplate String, errorMessage String) from class org.springframework.test.web.UriAssert.ShouldBeValidUriTemplate"
spring-test/src/main/java/org/springframework/test/web/servlet/DefaultMvcResult.java,Add Method Annotation,4,1,1,a442c180f1956fa0365bca4617fcedb8ea2199f5,Add Method Annotation @Nullable in method public getAsyncResult() : Object from class org.springframework.test.web.servlet.DefaultMvcResult
spring-test/src/main/java/org/springframework/test/web/servlet/DefaultMvcResult.java,Add Method Annotation,15,1,1,a442c180f1956fa0365bca4617fcedb8ea2199f5,Add Method Annotation @Nullable in method public getAsyncResult(timeToWait long) : Object from class org.springframework.test.web.servlet.DefaultMvcResult
spring-test/src/main/java/org/springframework/test/web/servlet/DefaultMvcResult.java,Remove Method Annotation,1,1,1,a442c180f1956fa0365bca4617fcedb8ea2199f5,"Remove Method Annotation @SuppressWarnings(""NullAway"") in method public getAsyncResult(timeToWait long) : Object from class org.springframework.test.web.servlet.DefaultMvcResult"
spring-test/src/main/java/org/springframework/test/web/servlet/MvcResult.java,Add Method Annotation,10,1,1,a442c180f1956fa0365bca4617fcedb8ea2199f5,Add Method Annotation @Nullable in method public getAsyncResult() : Object from class org.springframework.test.web.servlet.MvcResult
spring-test/src/main/java/org/springframework/test/web/servlet/MvcResult.java,Add Method Annotation,10,1,1,a442c180f1956fa0365bca4617fcedb8ea2199f5,Add Method Annotation @Nullable in method public getAsyncResult(timeToWait long) : Object from class org.springframework.test.web.servlet.MvcResult
spring-test/src/main/java/org/springframework/test/web/servlet/client/MockMvcHttpConnector.java,Add Method Annotation,4,1,1,a442c180f1956fa0365bca4617fcedb8ea2199f5,Add Method Annotation @Nullable in method public getAsyncResult() : Object from class org.springframework.test.web.servlet.client.MockMvcHttpConnector.PrintingMvcResult
spring-test/src/main/java/org/springframework/test/web/servlet/client/MockMvcHttpConnector.java,Add Method Annotation,4,1,1,a442c180f1956fa0365bca4617fcedb8ea2199f5,Add Method Annotation @Nullable in method public getAsyncResult(timeToWait long) : Object from class org.springframework.test.web.servlet.client.MockMvcHttpConnector.PrintingMvcResult
spring-test/src/test/java/org/springframework/test/web/servlet/StubMvcResult.java,Add Method Annotation,4,1,1,a442c180f1956fa0365bca4617fcedb8ea2199f5,Add Method Annotation @Nullable in method public getAsyncResult() : Object from class org.springframework.test.web.servlet.StubMvcResult
spring-test/src/test/java/org/springframework/test/web/servlet/StubMvcResult.java,Add Method Annotation,4,1,1,a442c180f1956fa0365bca4617fcedb8ea2199f5,Add Method Annotation @Nullable in method public getAsyncResult(timeToWait long) : Object from class org.springframework.test.web.servlet.StubMvcResult
spring-web/src/main/java/org/springframework/http/client/JdkClientHttpRequest.java,Remove Method Annotation,1,1,1,5fba926ab63f977c8b6b3d411dc3a7077784e1c2,"Remove Method Annotation @SuppressWarnings(""NullAway"") in method protected executeInternal(headers HttpHeaders, body Body) : ClientHttpResponse from class org.springframework.http.client.JdkClientHttpRequest"
spring-web/src/main/java/org/springframework/http/client/JettyClientHttpRequest.java,Remove Method Annotation,1,1,1,5fba926ab63f977c8b6b3d411dc3a7077784e1c2,"Remove Method Annotation @SuppressWarnings(""NullAway"") in method protected executeInternal(headers HttpHeaders, body Body) : ClientHttpResponse from class org.springframework.http.client.JettyClientHttpRequest"
spring-web/src/main/java/org/springframework/http/codec/multipart/MultipartParser.java,Remove Class Annotation,1,1,1,5fba926ab63f977c8b6b3d411dc3a7077784e1c2,"Remove Class Annotation @SuppressWarnings(""NullAway"") in class org.springframework.http.codec.multipart.MultipartParser"
spring-web/src/main/java/org/springframework/http/codec/multipart/MultipartParser.java,Add Method Annotation,5,1,1,5fba926ab63f977c8b6b3d411dc3a7077784e1c2,"Add Method Annotation @SuppressWarnings(""NullAway"") in method protected hookOnNext(value DataBuffer) : void from class org.springframework.http.codec.multipart.MultipartParser"
spring-web/src/main/java/org/springframework/http/codec/multipart/MultipartParser.java,Add Method Annotation,4,1,1,5fba926ab63f977c8b6b3d411dc3a7077784e1c2,"Add Method Annotation @SuppressWarnings(""NullAway"") in method protected hookOnComplete() : void from class org.springframework.http.codec.multipart.MultipartParser"
spring-web/src/main/java/org/springframework/web/multipart/support/AbstractMultipartHttpServletRequest.java,Add Attribute Annotation,1,1,1,5fba926ab63f977c8b6b3d411dc3a7077784e1c2,"Add Attribute Annotation @SuppressWarnings(""NullAway.Init"") in attribute private multipartFiles : MultiValueMap<String,MultipartFile> from class org.springframework.web.multipart.support.AbstractMultipartHttpServletRequest"
spring-web/src/main/java/org/springframework/web/multipart/support/AbstractMultipartHttpServletRequest.java,Remove Attribute Annotation,1,1,1,5fba926ab63f977c8b6b3d411dc3a7077784e1c2,"Remove Attribute Annotation @Nullable in attribute private multipartFiles : MultiValueMap<String,MultipartFile> from class org.springframework.web.multipart.support.AbstractMultipartHttpServletRequest"
spring-web/src/main/java/org/springframework/web/multipart/support/AbstractMultipartHttpServletRequest.java,Remove Method Annotation,1,1,1,5fba926ab63f977c8b6b3d411dc3a7077784e1c2,"Remove Method Annotation @SuppressWarnings(""NullAway"") in method protected getMultipartFiles() : MultiValueMap<String,MultipartFile> from class org.springframework.web.multipart.support.AbstractMultipartHttpServletRequest"
spring-web/src/main/java/org/springframework/web/multipart/support/DefaultMultipartHttpServletRequest.java,Add Attribute Annotation,1,1,1,5fba926ab63f977c8b6b3d411dc3a7077784e1c2,"Add Attribute Annotation @SuppressWarnings(""NullAway.Init"") in attribute private multipartParameters : Map<String,String[]> from class org.springframework.web.multipart.support.DefaultMultipartHttpServletRequest"
spring-web/src/main/java/org/springframework/web/multipart/support/DefaultMultipartHttpServletRequest.java,Remove Attribute Annotation,1,1,1,5fba926ab63f977c8b6b3d411dc3a7077784e1c2,"Remove Attribute Annotation @Nullable in attribute private multipartParameters : Map<String,String[]> from class org.springframework.web.multipart.support.DefaultMultipartHttpServletRequest"
spring-web/src/main/java/org/springframework/web/multipart/support/DefaultMultipartHttpServletRequest.java,Add Attribute Annotation,1,1,1,5fba926ab63f977c8b6b3d411dc3a7077784e1c2,"Add Attribute Annotation @SuppressWarnings(""NullAway.Init"") in attribute private multipartParameterContentTypes : Map<String,String> from class org.springframework.web.multipart.support.DefaultMultipartHttpServletRequest"
spring-web/src/main/java/org/springframework/web/multipart/support/DefaultMultipartHttpServletRequest.java,Remove Attribute Annotation,1,1,1,5fba926ab63f977c8b6b3d411dc3a7077784e1c2,"Remove Attribute Annotation @Nullable in attribute private multipartParameterContentTypes : Map<String,String> from class org.springframework.web.multipart.support.DefaultMultipartHttpServletRequest"
spring-web/src/main/java/org/springframework/web/multipart/support/DefaultMultipartHttpServletRequest.java,Remove Method Annotation,1,1,1,5fba926ab63f977c8b6b3d411dc3a7077784e1c2,"Remove Method Annotation @SuppressWarnings(""NullAway"") in method protected getMultipartParameters() : Map<String,String[]> from class org.springframework.web.multipart.support.DefaultMultipartHttpServletRequest"
spring-web/src/main/java/org/springframework/web/multipart/support/DefaultMultipartHttpServletRequest.java,Remove Method Annotation,1,1,1,5fba926ab63f977c8b6b3d411dc3a7077784e1c2,"Remove Method Annotation @SuppressWarnings(""NullAway"") in method protected getMultipartParameterContentTypes() : Map<String,String> from class org.springframework.web.multipart.support.DefaultMultipartHttpServletRequest"
spring-web/src/main/java/org/springframework/web/multipart/support/StandardMultipartHttpServletRequest.java,Add Attribute Annotation,1,1,1,5fba926ab63f977c8b6b3d411dc3a7077784e1c2,"Add Attribute Annotation @SuppressWarnings(""NullAway.Init"") in attribute private multipartParameterNames : Set<String> from class org.springframework.web.multipart.support.StandardMultipartHttpServletRequest"
spring-web/src/main/java/org/springframework/web/multipart/support/StandardMultipartHttpServletRequest.java,Remove Attribute Annotation,1,1,1,5fba926ab63f977c8b6b3d411dc3a7077784e1c2,Remove Attribute Annotation @Nullable in attribute private multipartParameterNames : Set<String> from class org.springframework.web.multipart.support.StandardMultipartHttpServletRequest
spring-web/src/main/java/org/springframework/web/multipart/support/StandardMultipartHttpServletRequest.java,Remove Method Annotation,1,1,1,5fba926ab63f977c8b6b3d411dc3a7077784e1c2,"Remove Method Annotation @SuppressWarnings(""NullAway"") in method public getParameterNames() : Enumeration<String> from class org.springframework.web.multipart.support.StandardMultipartHttpServletRequest"
spring-web/src/main/java/org/springframework/web/multipart/support/StandardMultipartHttpServletRequest.java,Remove Method Annotation,1,1,1,5fba926ab63f977c8b6b3d411dc3a7077784e1c2,"Remove Method Annotation @SuppressWarnings(""NullAway"") in method public getParameterMap() : Map<String,String[]> from class org.springframework.web.multipart.support.StandardMultipartHttpServletRequest"
spring-web/src/main/java/org/springframework/web/server/adapter/HttpWebHandlerAdapter.java,Add Attribute Annotation,1,1,1,5fba926ab63f977c8b6b3d411dc3a7077784e1c2,"Add Attribute Annotation @SuppressWarnings(""NullAway.Init"") in attribute private codecConfigurer : ServerCodecConfigurer from class org.springframework.web.server.adapter.HttpWebHandlerAdapter"
spring-web/src/main/java/org/springframework/web/server/adapter/HttpWebHandlerAdapter.java,Remove Attribute Annotation,1,1,1,5fba926ab63f977c8b6b3d411dc3a7077784e1c2,Remove Attribute Annotation @Nullable in attribute private codecConfigurer : ServerCodecConfigurer from class org.springframework.web.server.adapter.HttpWebHandlerAdapter
spring-web/src/main/java/org/springframework/web/server/adapter/HttpWebHandlerAdapter.java,Remove Method Annotation,1,1,1,5fba926ab63f977c8b6b3d411dc3a7077784e1c2,"Remove Method Annotation @SuppressWarnings(""NullAway"") in method public getCodecConfigurer() : ServerCodecConfigurer from class org.springframework.web.server.adapter.HttpWebHandlerAdapter"
spring-webflux/src/main/java/org/springframework/web/reactive/resource/ResourceWebHandler.java,Remove Method Annotation,1,1,1,b332920b17719a3e812864a6d22495807fe7fdac,"Remove Method Annotation @SuppressWarnings(""NullAway"") in method public setMediaTypes(mediaTypes Map<String,MediaType>) : void from class org.springframework.web.reactive.resource.ResourceWebHandler"
spring-test/src/test/java/org/springframework/test/web/servlet/samples/spr/ServletRequestDataBinderIntegrationTests.java,Remove Method Annotation,1,1,1,0f38c28e9155e0190cf3ffb5478aca3e9282b6e7,"Remove Method Annotation @Disabled(""see gh-34121"") in method package postArrayWithEmptyIndex(wac WebApplicationContext) : void from class org.springframework.test.web.servlet.samples.spr.ServletRequestDataBinderIntegrationTests"
spring-test/src/test/java/org/springframework/test/web/servlet/samples/spr/ServletRequestDataBinderIntegrationTests.java,Remove Method Annotation,1,1,1,0f38c28e9155e0190cf3ffb5478aca3e9282b6e7,"Remove Method Annotation @Disabled(""see gh-34121"") in method package postListWithEmptyIndex(wac WebApplicationContext) : void from class org.springframework.test.web.servlet.samples.spr.ServletRequestDataBinderIntegrationTests"
spring-web/src/main/java/org/springframework/web/method/annotation/RequestHeaderMapMethodArgumentResolver.java,Change Method Access Modifier,11,1,1,eb9ee9fafadc192bda8e329f55aaaec36a0041af,"Change Method Access Modifier package to private in method private copyHeaderValues(webRequest NativeWebRequest, consumer BiConsumer<String,String>) : void from class org.springframework.web.method.annotation.RequestHeaderMapMethodArgumentResolver"
spring-webmvc/src/test/java/org/springframework/web/servlet/mvc/method/annotation/MethodValidationTests.java,Add Method Annotation,8,1,1,59ed4686c52992e45ac4daabac1c576257c6f190,Add Method Annotation @TestConstraint in method private Person(name String) : record from class org.springframework.web.servlet.mvc.method.annotation.MethodValidationTests
spring-context/src/main/java/org/springframework/validation/DataBinder.java,Replace Pipeline With Loop,1,1,1,4350fc21b3cb30bd09288d8323b4bc4fcd5a3de7,"Replace Pipeline With Loop indexes.forEach(i -> list.add(null)); with for(int i=0; i < size; i++) in method private createList(paramPath String, paramType Class<?>, type ResolvableType, valueResolver ValueResolver) : List<V> from class org.springframework.validation.DataBinder"
